tackle,display_name,play_description
0,Nick Scott,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Ryan Bates,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Gabe Davis,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Spencer Brown,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,football,(12:33) (Shotgun) D.Singletary left tackle to LA 47 for 2 yards (As.Robinson; B.Wagner).
0,Rodger Saffold,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Bobby Wagner,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Aaron Donald,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Mitch Morse,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Jamison Crowder,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Stefon Diggs,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Troy Hill,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Jalen Ramsey,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Leonard Floyd,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,A'Shawn Robinson,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Dion Dawkins,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Josh Allen,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Taylor Rapp,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Devin Singletary,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Dawson Knox,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Greg Gaines,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Nick Scott,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Ryan Bates,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Gabe Davis,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Jordan Fuller,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Spencer Brown,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Ernest Jones,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,football,(3:10) (Shotgun) J.Allen pass short left to J.Crowder to BUF 36 for 11 yards (T.Rapp; N.Scott).
0,Rodger Saffold,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Bobby Wagner,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Aaron Donald,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Mitch Morse,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Stefon Diggs,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Troy Hill,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Jalen Ramsey,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Leonard Floyd,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Dion Dawkins,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Josh Allen,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Taylor Rapp,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Devin Singletary,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,David Long,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Dawson Knox,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Greg Gaines,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Justin Hollins,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Nick Scott,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Ryan Bates,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Gabe Davis,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Spencer Brown,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Ernest Jones,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,James Cook,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,football,"(13:36) (Shotgun) J.Cook right tackle to BUF 37 for 3 yards (E.Jones; N.Scott). FUMBLES (E.Jones), RECOVERED by LA-L.Floyd at BUF 36."
0,Matthew Stafford,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Micah Hyde,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Jordan Poyer,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Allen Robinson,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,DaQuan Jones,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Rob Havenstein,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Tyler Higbee,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Cooper Kupp,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Matt Milano,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Tremaine Edmunds,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Joseph Noteboom,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Brian Allen,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Taron Johnson,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Tim Settle,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Coleman Shelton,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,David Edwards,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Cam Akers,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,A.J. Epenesa,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Dane Jackson,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Gregory Rousseau,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Ben Skowronek,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Christian Benford,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,football,(1:40) (Shotgun) M.Stafford pass short right to C.Kupp to BUF 31 for 9 yards (M.Milano; D.Jackson).
0,Matthew Stafford,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Von Miller,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Micah Hyde,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Jordan Poyer,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Allen Robinson,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Jordan Phillips,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Rob Havenstein,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Tyler Higbee,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Cooper Kupp,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Matt Milano,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Tremaine Edmunds,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Joseph Noteboom,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Brian Allen,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Taron Johnson,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Tim Settle,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Coleman Shelton,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Darrell Henderson,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,David Edwards,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Dane Jackson,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Gregory Rousseau,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Ben Skowronek,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Christian Benford,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,football,"(14:29) (No Huddle, Shotgun) M.Stafford pass short middle to D.Henderson to LA 17 for 4 yards (T.Edmunds; T.Johnson) [V.Miller]."
0,Matthew Stafford,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Micah Hyde,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Jordan Poyer,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Allen Robinson,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,DaQuan Jones,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Rob Havenstein,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Tyler Higbee,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Cooper Kupp,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Matt Milano,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Tremaine Edmunds,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Joseph Noteboom,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Brian Allen,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Taron Johnson,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Coleman Shelton,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Ed Oliver,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Darrell Henderson,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,David Edwards,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,A.J. Epenesa,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Dane Jackson,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Carlos Basham,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Ben Skowronek,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Christian Benford,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,football,(7:28) (Shotgun) M.Stafford pass deep left to C.Kupp pushed ob at LA 48 for 23 yards (T.Johnson; C.Benford).
0,Rodger Saffold,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Bobby Wagner,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Aaron Donald,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Mitch Morse,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Jamison Crowder,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Stefon Diggs,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Troy Hill,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Jalen Ramsey,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Leonard Floyd,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,A'Shawn Robinson,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Dion Dawkins,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Josh Allen,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Taylor Rapp,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Devin Singletary,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,David Long,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Dawson Knox,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Greg Gaines,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Justin Hollins,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Nick Scott,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Ryan Bates,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Gabe Davis,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Spencer Brown,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,football,(14:14) (Shotgun) J.Allen right tackle to LA 4 for 2 yards (N.Scott; As.Robinson).
0,Matthew Stafford,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Von Miller,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Micah Hyde,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Jordan Poyer,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Allen Robinson,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,DaQuan Jones,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Jordan Phillips,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Rob Havenstein,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Tyler Higbee,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Cooper Kupp,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Matt Milano,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Tremaine Edmunds,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Joseph Noteboom,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Brian Allen,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Taron Johnson,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Coleman Shelton,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,David Edwards,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Cam Akers,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Dane Jackson,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Gregory Rousseau,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Ben Skowronek,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Kaiir Elam,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,football,(12:53) (Shotgun) C.Akers left end to LA 32 for no gain (M.Hyde; T.Johnson).
0,Matthew Stafford,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Von Miller,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Micah Hyde,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Jordan Poyer,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Allen Robinson,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,DaQuan Jones,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Jordan Phillips,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Rob Havenstein,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Tyler Higbee,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Cooper Kupp,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Matt Milano,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Tremaine Edmunds,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Joseph Noteboom,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Brian Allen,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
0,Taron Johnson,(8:50) (Shotgun) M.Stafford pass short right to T.Higbee to LA 33 for 9 yards (M.Milano; T.Edmunds) [D.Jones].
